size_c,parent,n_atoms,side,parent_r,child_mean,child_best,delta_mean,delta_best
35.0,CC(C)Cc1ccc(C(C)C(=O)NC2CCCCC2)cc1,21,below,0.11957810751218645,0.14654488861560822,0.15438145399093628,0.026966780424118042,0.034803345799446106
35.0,CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,24,below,0.20051379504169523,0.21619997918605804,0.23413071036338806,0.01568618416786194,0.033616915345191956
35.0,CC(=O)NCC1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,24,below,0.22113711707737366,0.24415536224842072,0.2552788555622101,0.023018240928649902,0.03414173424243927
35.0,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,26,below,0.34013177322157606,0.3813132345676422,0.398637980222702,0.041181474924087524,0.05850622057914734
35.0,CCCC1CC(N(C)C1)C(=O)NC(C(C)Cl)C1OC(SC)C(O)C(O)C1O,27,below,0.22082722879471878,0.2411077469587326,0.25333690643310547,0.02028052508831024,0.032509684562683105
35.0,CN(C)C1C2CC3C(=O)c4c(O)cccc4C(C)(O)C3CC2C(O)=C(C(N)=O)C1=O,30,below,0.42672350956307115,0.43934282660484314,0.46196213364601135,0.012619316577911377,0.03523862361907959
35.0,CN1CCN(CC1)c2ccc(cc2)C(=O)Nc3ccc(cc3)C(=O)NCc4ccncc4,32,below,0.5223050063509622,0.5252110958099365,0.5475756525993347,0.0029060840606689453,0.02527064085006714
35.0,CC1(O)C2CC3C(N(C)C)C(O)=C(C(N)=O)C(=O)C3(O)C(O)=C2C(=O)c2c(O)cccc21,32,below,0.3115430857541005,0.3161574602127075,0.3293064534664154,0.004614382982254028,0.017763376235961914
35.0,CC1C=CC=C(C)C(=O)NC2=C(O)C3=C(O)C(C)=C(O)C(=C3C(=O)C2=O)C(C)C(O)C(C)C1O,34,below,0.40882064607166974,0.4049922227859497,0.4397459626197815,-0.0038284361362457275,0.03092530369758606
35.0,CN1CCN(CC1)c1ccc(cc1)C(=O)Nc1ccc(cc1)C(=O)Nc1ccc(cc1)C(=O)NC,35,above,0.583049758659706,0.5616075396537781,0.5744516253471375,-0.0214422345161438,-0.008598148822784424
35.0,CCC1OC(=O)C(C)C(O)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,40,above,0.24087143670447567,0.2450200915336609,0.2601080536842346,0.004148662090301514,0.019236624240875244
35.0,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,51,above,0.045397130644270325,0.03827076032757759,0.04007640480995178,-0.007126368582248688,-0.0053207240998744965
